iter	RMSE
0	0.1734135219
1	0.1729255905
2	0.1724447851
3	0.1719813125
4	0.17151102
5	0.1710600986
6	0.1706077044
7	0.1701349995
8	0.1696568622
9	0.1691802631
10	0.1687344667
11	0.1682888198
12	0.1678235309
13	0.167358537
14	0.1668968313
15	0.1664236066
16	0.1659957181
17	0.1655322299
18	0.1650808365
19	0.1646295399
20	0.1641538984
21	0.1637085399
22	0.1632905727
23	0.1628568055
24	0.1624537908
25	0.162038905
26	0.1615791632
27	0.1611515898
28	0.1607230572
29	0.1603188151
30	0.1598959053
31	0.1594726532
32	0.1590444013
33	0.1586334137
34	0.158214112
35	0.1578056748
36	0.1574030673
37	0.1569643359
38	0.1565565329
39	0.1561226668
40	0.1557120015
41	0.1552963194
42	0.1548728116
43	0.1544654133
44	0.1540624228
45	0.153650015
46	0.1532453407
47	0.1528324257
48	0.1524370364
49	0.1520546637
50	0.1516848187
51	0.1512704221
52	0.1508702605
53	0.1504526148
54	0.1500531351
55	0.1496487655
56	0.1492602999
57	0.1488579475
58	0.1484629848
59	0.1480652091
60	0.1476920932
61	0.1473473371
62	0.1469714052
63	0.146582648
64	0.1462078129
65	0.1458249627
66	0.1454528938
67	0.1450895514
68	0.144733113
69	0.144368913
70	0.1439925154
71	0.1436748859
72	0.1433153659
73	0.142950126
74	0.1425751695
75	0.1422297694
76	0.1418566666
77	0.1414888177
78	0.1411310897
79	0.1407817267
80	0.1404222637
81	0.140053254
82	0.1396868324
83	0.1393431696
84	0.1389881559
85	0.1386419957
86	0.1383256209
87	0.1380074454
88	0.1376578918
89	0.1373311459
90	0.1369931301
91	0.1366663854
92	0.1363231483
93	0.1359822342
94	0.1356505667
95	0.1353122417
96	0.1349782292
97	0.1346250889
98	0.1343257133
99	0.1340003754
100	0.13366095
101	0.1333333157
102	0.1330038407
103	0.132672887
104	0.1323435193
105	0.1319967926
106	0.1317120046
107	0.1313882143
108	0.1310630351
109	0.1307639321
110	0.1304280065
111	0.1301020002
112	0.1298094902
113	0.1295111344
114	0.1292075066
115	0.1288891767
116	0.1285853231
117	0.1282534653
118	0.1279388386
119	0.1276239815
120	0.1273290452
121	0.1270139934
122	0.1267174347
123	0.1264412603
124	0.1261597096
125	0.125841749
126	0.125531106
127	0.125231267
128	0.1249414634
129	0.1246301867
130	0.1243167166
131	0.1240375955
132	0.1237432897
133	0.1234646766
134	0.1231574739
135	0.1228691158
136	0.1225705078
137	0.122267599
138	0.1219785825
139	0.1216743081
140	0.1213813226
141	0.1210949224
142	0.1208257558
143	0.1205289129
144	0.1202256955
145	0.1199418254
146	0.1196549838
147	0.1193933698
148	0.1191206753
149	0.1188459168
150	0.1185556484
151	0.1183012021
152	0.1180633855
153	0.1177944003
154	0.1175436358
155	0.1172748541
156	0.1170219662
157	0.1167529709
158	0.1164786261
159	0.1161997886
160	0.1159206481
161	0.1156422266
162	0.1153906867
163	0.1151468226
164	0.1148805888
165	0.1146214373
166	0.1143844402
167	0.114126022
168	0.1138846072
169	0.1136350277
170	0.1133642556
171	0.113111212
172	0.1128588556
173	0.1126104677
174	0.1123564159
175	0.1121091056
176	0.1118539415
177	0.1116147259
178	0.1113800559
179	0.1111382032
180	0.1109096994
181	0.110692945
182	0.110424357
183	0.1101769788
184	0.1099488598
185	0.1097047689
186	0.1094592368
187	0.1092243378
188	0.1089826674
189	0.1087408484
190	0.1084994823
