iter	RMSE
0	0.1719891558
1	0.1715169353
2	0.1710111716
3	0.1705211438
4	0.1700252357
5	0.1695684712
6	0.1691066871
7	0.1686386041
8	0.1681409544
9	0.1676688659
10	0.1671969678
11	0.1667243959
12	0.1662602654
13	0.1658171789
14	0.1653563307
15	0.164884646
16	0.1644161202
17	0.1639537991
18	0.1634863951
19	0.1630548282
20	0.1626015456
21	0.162155591
22	0.1617079644
23	0.1612713725
24	0.16085046
25	0.1604022515
26	0.1599558153
27	0.1595067014
28	0.1590916858
29	0.1586448526
30	0.1582285999
31	0.1577954593
32	0.1573616957
33	0.1569259594
34	0.1565283788
35	0.1561230259
36	0.1556719664
37	0.155247157
38	0.1548340831
39	0.1544267529
40	0.1539939279
41	0.1535708701
42	0.1531604161
43	0.1527413953
44	0.152344597
45	0.1519338033
46	0.1515389452
47	0.151152775
48	0.1507781338
49	0.1503770386
50	0.1499847021
51	0.1495952502
52	0.1492057737
53	0.1487957175
54	0.1483910673
55	0.1479885273
56	0.1475996199
57	0.1472151441
58	0.1468177819
59	0.1464216907
60	0.1460420837
61	0.1456561507
62	0.1452768332
63	0.1449106341
64	0.1445400764
65	0.1441450977
66	0.1437646147
67	0.1433752405
68	0.1429949716
69	0.1426255128
70	0.1422518499
71	0.1418903113
72	0.1415204822
73	0.1411589923
74	0.1407923375
75	0.1404069495
76	0.1400429827
77	0.1396769765
78	0.1393197919
79	0.1389576076
80	0.1386322602
81	0.1382823275
82	0.1379264085
83	0.1375563134
84	0.1371991951
85	0.1368453355
86	0.1364752252
87	0.1361543788
88	0.1358242066
89	0.1354843991
90	0.1351332381
91	0.1348010566
92	0.1344664848
93	0.1341257387
94	0.1337821715
95	0.1334491799
96	0.1331277073
97	0.132775498
98	0.1324668854
99	0.1321342457
100	0.1318105439
101	0.131479628
102	0.1311534088
103	0.130818333
104	0.130489809
105	0.1301596196
106	0.12983754
107	0.1295189144
108	0.1292044317
109	0.1288835053
110	0.1285632989
111	0.1282364716
112	0.1279167096
113	0.1276038509
114	0.1272879021
115	0.1269924113
116	0.1266861756
117	0.1263747091
118	0.1260803859
119	0.1257699966
120	0.1254826938
121	0.1251616728
122	0.1248709011
123	0.1245555065
124	0.1242530186
125	0.1239602691
126	0.123668328
127	0.123371253
128	0.1230928826
129	0.1227832199
130	0.1224924591
131	0.1222028714
132	0.1219090586
133	0.1216146
134	0.1213279826
135	0.1210516466
136	0.1207728354
137	0.1204852581
138	0.1201964935
139	0.1199103067
140	0.1196295517
141	0.1193666836
142	0.119083928
143	0.1188147798
144	0.1185280729
145	0.1182581163
146	0.1179853717
147	0.1177048971
148	0.1174706784
149	0.1171995975
150	0.1169424343
151	0.1166724159
152	0.1163981816
153	0.1161515266
154	0.1159105536
155	0.1156409854
156	0.1153848124
157	0.1151708492
158	0.1148949537
159	0.1146327123
160	0.1143820926
161	0.1141214886
162	0.1138918733
163	0.1136263117
164	0.1133848851
165	0.1131443765
166	0.1128834991
167	0.1126283959
168	0.1123965766
169	0.1121401133
170	0.1118788767
171	0.1116306225
172	0.1113777462
173	0.1111277704
174	0.1108857059
175	0.1106407296
176	0.1104048104
177	0.1101560645
178	0.1099232076
179	0.1096821457
180	0.1094389365
181	0.1091890962
182	0.10895827
183	0.1087265386
184	0.1085140458
185	0.1082907209
186	0.1080582388
187	0.1078138698
188	0.1075727467
189	0.1073428187
190	0.107115365
191	0.1068855496
192	0.1066429537
193	0.1064143704
194	0.1061965156
195	0.1059768983
196	0.1057614599
197	0.1055458293
198	0.1053259337
199	0.1050887355
200	0.1048532723
201	0.1046327851
202	0.1044028997
203	0.1041820874
204	0.1039746122
205	0.1037667137
206	0.1035602866
